Country,ISO3,Military_Change_%,Investment_Direction,GPI_Change,Peace_Outcome,Terrorism_Fatalities_Per_Million_Change,Terrorism_Outcome,Security_Profile,Military_Expenditure_USD_Millions_2020,GPI_Score_2020,Terrorism_Fatalities_Per_Million_2020,Military_Expenditure_USD_Millions_2025,GPI_Score_2025,Terrorism_Fatalities_Per_Million_2025
Israel,ISR,95.9619609418707,Significant Increase,0.5710000000000002,Deteriorated,0.3854169426693302,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,22281.72884444056,2.638,0.10851754186064178,43663.71277531615,3.209,0.49393448452997196
Italy,ITA,28.62059319682598,Significant Increase,0.018000000000000016,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,35328.84641790258,1.693,0.0,45440.17183230191,1.711,0.0
Jamaica,JAM,3.8417184546184924,Relatively Stable,0.01200000000000001,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,269.4910926475998,1.877,0.0,279.8441816873957,1.889,0.0
Japan,JPN,51.274816269889136,Significant Increase,0.04599999999999982,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,39327.85453566151,1.465,0.0,59493.13969171121,1.511,0.0
Jordan,JOR,11.05919228743047,Significant Increase,-0.039000000000000146,Improved,0.0,Stable,Improved Peace / Stable Terrorism,2251.495114014965,1.971,0.0,2500.492288015982,1.932,0.0
Kazakhstan,KAZ,-38.47073668287441,Significant Decrease,-0.07600000000000007,Improved,0.0,Stable,Improved Peace / Stable Terrorism,2123.067606766004,1.867,0.0,1306.307858167651,1.791,0.0
Kenya,KEN,19.69227030125378,Significant Increase,0.0950000000000002,Deteriorated,-0.46377795140812506,Improved,Deteriorated Peace / Improved Terrorism,1132.232083772953,2.385,0.8809335229561892,1355.194286147041,2.48,0.41715557154806415
"Korea, South",KOR,7.20911878569876,Relatively Stable,0.06199999999999983,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,45563.29257418769,1.741,0.0,48848.00445853634,1.803,0.0
Kuwait,KWT,-0.6197783368386558,Relatively Stable,0.017000000000000126,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,7968.573204319192,1.7,0.0,7919.185713843692,1.717,0.0
Kyrgyz Republic,KGZ,64.97927250967052,Significant Increase,-0.07599999999999985,Improved,0.0,Stable,Improved Peace / Stable Terrorism,338.1141089459244,1.888,0.0,557.8181971915409,1.812,0.0
Latvia,LVA,70.01266490354979,Significant Increase,-0.05500000000000016,Improved,0.0,Stable,Improved Peace / Stable Terrorism,941.8391689024743,1.622,0.0,1601.245870156542,1.567,0.0
Lebanon,LBN,-29.277492348276553,Significant Decrease,0.137,Deteriorated,-0.8768241010185539,Improved,Deteriorated Peace / Improved Terrorism,1041.283069714309,2.379,0.8768241010185539,736.421498654803,2.516,0.0
Lesotho,LSO,-17.133031133732494,Significant Decrease,0.10199999999999987,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,44.95412920897535,2.04,0.0,37.25212425570327,2.142,0.0
Liberia,LBR,125.77684206876998,Significant Increase,0.12300000000000022,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,17.82966241893111,1.96,0.0,40.25524876098493,2.083,0.0
Lithuania,LTU,78.12455017682846,Significant Increase,-0.052000000000000046,Improved,0.0,Stable,Improved Peace / Stable Terrorism,1535.320565712504,1.68,0.0,2734.782851447736,1.628,0.0
Madagascar,MDG,11.143424143153972,Significant Increase,0.06000000000000005,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,99.50907181077048,1.788,0.0,110.5977897435603,1.848,0.0
Malawi,MWI,33.09519174908611,Significant Increase,-0.006000000000000005,Improved,0.0,Stable,Improved Peace / Stable Terrorism,96.07974586888602,1.872,0.0,127.8775219962285,1.866,0.0
Malaysia,MYS,32.65753196524457,Significant Increase,-0.02299999999999991,Improved,0.0,Stable,Improved Peace / Stable Terrorism,3426.960902732506,1.527,0.0,4546.121754978808,1.504,0.0
Mali,MLI,30.543276511947486,Significant Increase,0.3679999999999999,Deteriorated,-5.073269336896697,Improved,Deteriorated Peace / Improved Terrorism,676.3419730188941,2.572,18.605648490667424,882.9189720044162,2.94,13.532379153770727
Mauritania,MRT,37.09423795961509,Significant Increase,0.15300000000000002,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,229.640654560802,2.02,0.0,314.8241054156036,2.173,0.0
Mauritius,MUS,13.37589998971594,Significant Increase,0.08499999999999996,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,19.96408888833274,1.557,0.0,22.63446545189412,1.642,0.0
Mexico,MEX,15.810225303407254,Significant Increase,0.04499999999999993,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,11901.25819526364,2.66,0.0,13782.87392987504,2.705,0.0
Moldova,MDA,51.802211526366136,Significant Increase,-0.050999999999999934,Improved,0.0,Stable,Improved Peace / Stable Terrorism,67.63685261388717,1.878,0.0,102.6742380747095,1.827,0.0
Mongolia,MNG,85.99442862556407,Significant Increase,0.004999999999999893,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,114.9308586057996,1.717,0.0,213.7649937783119,1.722,0.0
Montenegro,MNE,59.15029773333485,Significant Increase,-0.2330000000000001,Improved,0.0,Stable,Improved Peace / Stable Terrorism,102.2802683805328,1.867,0.0,162.7793516500719,1.634,0.0
Morocco,MAR,10.037267161333782,Significant Increase,-0.06800000000000006,Improved,0.0,Stable,Improved Peace / Stable Terrorism,5345.223510077302,1.956,0.0,5881.737874154184,1.888,0.0
Mozambique,MOZ,8.65855437874492,Relatively Stable,0.2270000000000003,Deteriorated,-15.907807162259656,Improved,Deteriorated Peace / Improved Terrorism,410.1602848292875,2.179,18.32139151098465,445.6742361312464,2.406,2.4135843487249944
Namibia,NAM,-3.758927504597619,Relatively Stable,-0.008000000000000007,Improved,0.0,Stable,Improved Peace / Stable Terrorism,401.3623059910624,1.851,0.0,386.2753878780771,1.843,0.0
